state,shape_leng,shape_area,pop2006
Abia,4.1989950073,0.3854849798,2845380
Adamawa,10.936118882,2.8172704969,3178950
Akwa Ibom,5.662794672,0.549200931,3902051
Anambra,3.4648352009,0.3750589561,4177828
Bauchi,12.903333082,4.055679979,4653066
Bayelsa,30.6741955785,0.7959289807,1704515
Benue,8.9815537006,2.5656082505,4253641
Borno,14.1804518201,5.4854371585,4171104
Cross River,7.7493810083,1.7347429108,2892988
Delta,27.1413119574,1.3571387333,4112445
Ebonyi,4.0315194227,0.5057311798,2176947
Edo,7.4555920151,1.6019004611,3233966
Ekiti,3.1986691474,0.4291999154,2398957
Enugu,4.1180747343,0.629750972,3267837
FCT,3.429373409,0.6042612418,1406239
Gombe,5.5214966072,1.5019073681,2365040
Imo,2.7130437314,0.4333852374,3927563
Jigawa,10.3974109594,1.9938991316,4361002
Kaduna,11.5609867058,3.6584096197,6113503
Kano,7.2856984996,1.6655301961,9401288
Katsina,8.7671045235,1.9704920386,5801584
Kebbi,12.8393217402,2.9835500762,3256541
Kogi,9.6572260762,2.3722391399,3314043
Kwara,11.7805156226,2.9125820461,2365353
Lagos,4.4642240159,0.3094032522,9113605
Nasarawa,9.1498745542,2.1619537268,1869377
Niger,16.9774484416,5.8554324028,3954772
Ogun,9.0347567321,1.3169690099,3751140
Ondo,7.9713215691,1.1886149292,3460877
Osun,4.3796792831,0.7529341729,3416959
Oyo,8.1509981369,2.2480337756,5580894
Plateau,7.8863380061,2.2691426639,3206531
Rivers,32.9598034893,0.6957932292,5198716
Sokoto,9.6309551657,2.6452107041,3702676
Taraba,13.4614761751,4.9298447515,2294800
Yobe,10.2843063875,3.7867527588,2321339
Zamfara,8.4006339799,2.8668650188,3278873
